Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Frequently,Human Resources,21,5,Life Sciences,2000,1,Female,Sales Executive,2,Married,7389,3,Yes,19,2,1,16,0,2,16,17,13,8
23,Yes,Travel_Rarely,Research & Development,20,2,Technical Degree,2001,1,Male,Human Resources,1,Divorced,2731,0,Yes,18,3,1,27,3,4,3,16,4,14
36,No,Travel_Frequently,Human Resources,4,3,Medical,2002,2,Female,Sales Executive,4,Single,11340,0,No,17,2,2,18,2,2,2,14,9,10
22,Yes,Travel_Frequently,Research & Development,4,4,Technical Degree,2003,4,Male,Human Resources,4,Divorced,9825,9,Yes,23,3,3,34,6,1,29,13,0,1
59,Yes,Travel_Frequently,Sales,25,4,Medical,2004,3,Male,Human Resources,3,Single,1701,1,Yes,21,3,1,11,4,2,20,4,14,13
39,Yes,Travel_Rarely,Sales,2,4,Medical,2005,3,Female,Manager,4,Divorced,18826,4,Yes,12,1,2,2,2,3,1,3,9,13
29,No,Non-Travel,Human Resources,30,3,Medical,2006,4,Female,Sales Executive,4,Divorced,10458,1,No,14,2,3,3,2,2,8,15,11,8
35,No,Travel_Rarely,Sales,28,5,Other,2007,1,Male,Manager,1,Divorced,8855,2,No,19,2,0,25,1,4,13,0,13,8
36,Yes,Travel_Rarely,Sales,8,1,Other,2008,3,Male,Human Resources,2,Single,6899,5,Yes,21,2,0,38,0,4,21,10,14,11
44,No,Travel_Frequently,Sales,7,1,Technical Degree,2009,1,Male,Human Resources,1,Single,2700,1,No,14,3,0,16,4,4,14,7,12,4
57,Yes,Travel_Frequently,Sales,12,4,Marketing,2010,2,Female,Research Scientist,1,Married,3779,3,Yes,10,1,0,16,4,3,24,1,15,11
36,Yes,Travel_Rarely,Sales,10,3,Medical,2011,3,Male,Human Resources,2,Married,4514,5,No,13,1,3,39,2,3,16,17,8,10
26,No,Non-Travel,Research & Development,23,4,Technical Degree,2012,1,Male,Laboratory Technician,2,Single,6991,2,Yes,15,2,2,4,3,2,18,17,0,3
46,No,Travel_Frequently,Sales,23,1,Marketing,2013,4,Male,Laboratory Technician,3,Single,2389,7,No,18,3,3,2,2,2,8,6,10,16
57,No,Non-Travel,Research & Development,2,4,Medical,2014,4,Female,Sales Executive,1,Divorced,5552,5,Yes,11,3,0,13,6,2,20,11,10,1
48,No,Travel_Frequently,Sales,8,1,Technical Degree,2015,4,Female,Laboratory Technician,4,Divorced,13178,8,No,15,1,3,10,5,2,3,12,13,8
58,No,Non-Travel,Research & Development,2,4,Marketing,2016,4,Female,Sales Executive,2,Divorced,15905,2,Yes,13,3,3,7,5,4,25,6,6,17
24,No,Travel_Frequently,Sales,16,5,Medical,2017,1,Female,Research Scientist,4,Divorced,19731,0,No,10,2,2,40,1,1,13,1,12,11
24,No,Non-Travel,Human Resources,26,3,Medical,2018,3,Male,Research Scientist,2,Divorced,17882,5,No,15,3,1,22,4,1,25,5,6,1
38,No,Travel_Frequently,Sales,1,2,Life Sciences,2019,4,Male,Laboratory Technician,3,Divorced,4174,6,No,22,4,1,14,5,1,30,18,7,9
26,No,Travel_Frequently,Human Resources,13,2,Marketing,2020,1,Female,Laboratory Technician,4,Single,17318,5,Yes,25,3,2,11,6,2,20,5,8,4
31,No,Travel_Frequently,Sales,30,5,Medical,2021,1,Male,Research Scientist,4,Single,13159,9,Yes,19,1,2,16,0,3,12,4,0,14
53,No,Non-Travel,Research & Development,25,2,Other,2022,4,Male,Human Resources,2,Single,18034,9,No,16,1,0,28,6,2,4,18,10,16
55,No,Travel_Rarely,Sales,28,2,Other,2023,2,Male,Research Scientist,3,Single,4952,4,Yes,25,4,3,21,0,1,4,1,2,14
59,Yes,Non-Travel,Research & Development,1,3,Life Sciences,2024,2,Male,Research Scientist,3,Divorced,16058,2,Yes,17,2,3,15,5,4,30,3,2,4
32,No,Travel_Frequently,Human Resources,16,1,Technical Degree,2025,1,Female,Sales Executive,3,Divorced,16675,9,Yes,10,4,2,27,0,1,2,5,9,14
40,No,Non-Travel,Human Resources,22,5,Medical,2026,3,Female,Human Resources,4,Divorced,1517,6,No,23,2,2,23,3,4,26,5,6,6
47,No,Travel_Rarely,Research & Development,4,3,Medical,2027,2,Female,Human Resources,2,Divorced,2996,7,Yes,18,3,3,24,6,3,13,15,4,10
33,Yes,Non-Travel,Sales,30,3,Other,2028,2,Female,Sales Executive,1,Divorced,3650,3,Yes,20,2,2,9,1,1,4,1,7,4
39,Yes,Travel_Rarely,Human Resources,17,2,Medical,2029,3,Male,Human Resources,2,Married,9889,0,Yes,17,2,3,14,6,1,20,16,0,15
43,Yes,Non-Travel,Research & Development,14,1,Other,2030,4,Male,Manager,2,Single,19498,3,No,16,3,0,24,2,4,20,4,4,2
30,Yes,Non-Travel,Research & Development,14,2,Other,2031,1,Female,Sales Executive,4,Divorced,5808,9,Yes,22,4,3,14,0,4,13,12,10,8
30,No,Travel_Rarely,Research & Development,28,4,Other,2032,3,Female,Human Resources,2,Single,11910,5,No,24,2,0,6,4,3,29,10,10,9
32,No,Non-Travel,Sales,1,3,Other,2033,3,Male,Human Resources,1,Divorced,10882,2,Yes,25,3,3,37,5,1,15,3,14,17
55,No,Non-Travel,Human Resources,18,3,Marketing,2034,3,Male,Sales Executive,3,Married,16230,5,No,20,4,1,24,4,1,22,7,0,12
47,Yes,Travel_Rarely,Research & Development,23,4,Other,2035,2,Female,Laboratory Technician,4,Divorced,3502,7,No,25,3,2,33,4,4,9,13,11,14
53,No,Non-Travel,Human Resources,23,3,Life Sciences,2036,2,Female,Human Resources,2,Divorced,14333,8,Yes,16,2,0,4,0,4,3,12,4,4
30,No,Non-Travel,Research & Development,11,5,Other,2037,1,Female,Research Scientist,1,Divorced,4403,1,No,22,4,0,28,6,2,15,2,5,5
50,Yes,Non-Travel,Research & Development,6,1,Other,2038,2,Male,Manager,4,Divorced,9675,6,Yes,18,4,0,24,4,2,9,1,12,0
55,No,Non-Travel,Research & Development,1,5,Technical Degree,2039,2,Female,Sales Executive,1,Married,2013,8,Yes,18,1,2,8,5,4,20,9,8,15
